country,continent,lifeExp,year
Afghanistan,Asia,28.801,1952
Afghanistan,Asia,30.332,1957
Afghanistan,Asia,31.997,1962
Afghanistan,Asia,34.02,1967
Afghanistan,Asia,36.088,1972
Afghanistan,Asia,38.438,1977
Afghanistan,Asia,39.854,1982
Afghanistan,Asia,40.822,1987
Afghanistan,Asia,41.674,1992
Afghanistan,Asia,41.763,1997
Afghanistan,Asia,42.129,2002
Afghanistan,Asia,43.828,2007
Albania,Europe,55.23,1952
Albania,Europe,59.28,1957
Albania,Europe,64.82,1962
Albania,Europe,66.22,1967
Albania,Europe,67.69,1972
Albania,Europe,68.93,1977
Albania,Europe,70.42,1982
Albania,Europe,72,1987
Albania,Europe,71.581,1992
Albania,Europe,72.95,1997
Albania,Europe,75.651,2002
Albania,Europe,76.423,2007
Algeria,Africa,43.077,1952
Algeria,Africa,45.685,1957
Algeria,Africa,48.303,1962
Algeria,Africa,51.407,1967
Algeria,Africa,54.518,1972
Algeria,Africa,58.014,1977
Algeria,Africa,61.368,1982
Algeria,Africa,65.799,1987
Algeria,Africa,67.744,1992
Algeria,Africa,69.152,1997
Algeria,Africa,70.994,2002
Algeria,Africa,72.301,2007
Angola,Africa,30.015,1952
Angola,Africa,31.999,1957
Angola,Africa,34,1962
Angola,Africa,35.985,1967
Angola,Africa,37.928,1972
Angola,Africa,39.483,1977
Angola,Africa,39.942,1982
Angola,Africa,39.906,1987
Angola,Africa,40.647,1992
Angola,Africa,40.963,1997
Angola,Africa,41.003,2002
Angola,Africa,42.731,2007
Argentina,Americas,62.485,1952
Argentina,Americas,64.399,1957
Argentina,Americas,65.142,1962
Argentina,Americas,65.634,1967
Argentina,Americas,67.065,1972
Argentina,Americas,68.481,1977
Argentina,Americas,69.942,1982
Argentina,Americas,70.774,1987
Argentina,Americas,71.868,1992
Argentina,Americas,73.275,1997
Argentina,Americas,74.34,2002
Argentina,Americas,75.32,2007
Australia,Oceania,69.12,1952
Australia,Oceania,70.33,1957
Australia,Oceania,70.93,1962
Australia,Oceania,71.1,1967
Australia,Oceania,71.93,1972
Australia,Oceania,73.49,1977
Australia,Oceania,74.74,1982
Australia,Oceania,76.32,1987
Australia,Oceania,77.56,1992
Australia,Oceania,78.83,1997
Australia,Oceania,80.37,2002
Australia,Oceania,81.235,2007
Austria,Europe,66.8,1952
Austria,Europe,67.48,1957
Austria,Europe,69.54,1962
Austria,Europe,70.14,1967
Austria,Europe,70.63,1972
Austria,Europe,72.17,1977
Austria,Europe,73.18,1982
Austria,Europe,74.94,1987
Austria,Europe,76.04,1992
Austria,Europe,77.51,1997
Austria,Europe,78.98,2002
Austria,Europe,79.829,2007
Bahrain,Asia,50.939,1952
Bahrain,Asia,53.832,1957
Bahrain,Asia,56.923,1962
Bahrain,Asia,59.923,1967
Bahrain,Asia,63.3,1972
Bahrain,Asia,65.593,1977
Bahrain,Asia,69.052,1982
Bahrain,Asia,70.75,1987
Bahrain,Asia,72.601,1992
Bahrain,Asia,73.925,1997
Bahrain,Asia,74.795,2002
Bahrain,Asia,75.635,2007
Bangladesh,Asia,37.484,1952
Bangladesh,Asia,39.348,1957
Bangladesh,Asia,41.216,1962
Bangladesh,Asia,43.453,1967
Bangladesh,Asia,45.252,1972
Bangladesh,Asia,46.923,1977
Bangladesh,Asia,50.009,1982
Bangladesh,Asia,52.819,1987
Bangladesh,Asia,56.018,1992
Bangladesh,Asia,59.412,1997
Bangladesh,Asia,62.013,2002
Bangladesh,Asia,64.062,2007
Belgium,Europe,68,1952
Belgium,Europe,69.24,1957
Belgium,Europe,70.25,1962
Belgium,Europe,70.94,1967
Belgium,Europe,71.44,1972
Belgium,Europe,72.8,1977
Belgium,Europe,73.93,1982
Belgium,Europe,75.35,1987
Belgium,Europe,76.46,1992
Belgium,Europe,77.53,1997
Belgium,Europe,78.32,2002
Belgium,Europe,79.441,2007
Benin,Africa,38.223,1952
Benin,Africa,40.358,1957
Benin,Africa,42.618,1962
Benin,Africa,44.885,1967
Benin,Africa,47.014,1972
Benin,Africa,49.19,1977
Benin,Africa,50.904,1982
Benin,Africa,52.337,1987
Benin,Africa,53.919,1992
Benin,Africa,54.777,1997
Benin,Africa,54.406,2002
Benin,Africa,56.728,2007
Bolivia,Americas,40.414,1952
Bolivia,Americas,41.89,1957
Bolivia,Americas,43.428,1962
Bolivia,Americas,45.032,1967
Bolivia,Americas,46.714,1972
Bolivia,Americas,50.023,1977
Bolivia,Americas,53.859,1982
Bolivia,Americas,57.251,1987
Bolivia,Americas,59.957,1992
Bolivia,Americas,62.05,1997
Bolivia,Americas,63.883,2002
Bolivia,Americas,65.554,2007
Bosnia and Herzegovina,Europe,53.82,1952
Bosnia and Herzegovina,Europe,58.45,1957
Bosnia and Herzegovina,Europe,61.93,1962
Bosnia and Herzegovina,Europe,64.79,1967
Bosnia and Herzegovina,Europe,67.45,1972
Bosnia and Herzegovina,Europe,69.86,1977
Bosnia and Herzegovina,Europe,70.69,1982
Bosnia and Herzegovina,Europe,71.14,1987
Bosnia and Herzegovina,Europe,72.178,1992
Bosnia and Herzegovina,Europe,73.244,1997
Bosnia and Herzegovina,Europe,74.09,2002
Bosnia and Herzegovina,Europe,74.852,2007
Botswana,Africa,47.622,1952
Botswana,Africa,49.618,1957
Botswana,Africa,51.52,1962
Botswana,Africa,53.298,1967
Botswana,Africa,56.024,1972
Botswana,Africa,59.319,1977
Botswana,Africa,61.484,1982
Botswana,Africa,63.622,1987
Botswana,Africa,62.745,1992
Botswana,Africa,52.556,1997
Botswana,Africa,46.634,2002
Botswana,Africa,50.728,2007
Brazil,Americas,50.917,1952
Brazil,Americas,53.285,1957
Brazil,Americas,55.665,1962
Brazil,Americas,57.632,1967
Brazil,Americas,59.504,1972
